inputActionName;inputActionControlPath;duration;startTime;time;value;valueType;phase;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;15,4048221000048;15,4048221000048;1;System.Single;Performed;(1.9, 0.9, -41.6);81b88c0d-349a-4f86-9095-52309c80e6bc;1;1;1;08.31.2021 18:53:31.751
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;16,6728991000055;16,6728991000055;1;System.Single;Performed;(0.8, 0.9, -47.3);73239f22-8376-464e-a3d7-72f387e88549;1;1;1;08.31.2021 18:53:33.005
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;17,9730998000014;17,9730998000014;1;System.Single;Performed;(3.0, 0.9, -52.4);20ea517a-3b80-4305-89cf-b0ad82f87c78;1;1;1;08.31.2021 18:53:34.306
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;18,7159438000017;18,7159438000017;1;System.Single;Performed;(2.7, 0.9, -57.9);377ab98d-0dcf-4ce4-922f-8bc3919bb0a6;1;1;1;08.31.2021 18:53:35.049
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;19,2599418000027;19,2599418000027;1;System.Single;Performed;(4.2, 0.9, -63.5);ab95e587-e4bc-4b6c-95c2-efa93c5de963;1;1;1;08.31.2021 18:53:35.593
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;23,1142936000033;23,1142936000033;1;System.Single;Performed;(4.9, 1.0, -66.0);d46efed1-0480-4beb-9115-7136df614687;1;1;1;08.31.2021 18:53:39.447
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;25,3906684000031;25,3906684000031;1;System.Single;Performed;(-1.5, 1.0, -65.9);86ae56c6-8467-4ffc-8a5d-cf47b3d8266b;1;1;1;08.31.2021 18:53:41.723
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;26,0571845000013;26,0571845000013;1;System.Single;Performed;(-8.7, 1.0, -65.0);ecf55b12-f66c-4c1e-bd6c-c52c374f1395;1;1;1;08.31.2021 18:53:42.390
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;26,8348409000027;26,8348409000027;1;System.Single;Performed;(-15.4, 1.0, -64.8);32f66a75-ed6f-4b56-a29b-a81eba4ca11f;1;1;1;08.31.2021 18:53:43.168
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;27,8344294000053;27,8344294000053;1;System.Single;Performed;(-18.4, 1.0, -62.3);d3be4753-f64c-4fa6-beb8-18ad9d5f52d8;1;1;1;08.31.2021 18:53:44.167
