dataPointGuid;sessionId;participantId;taskId;pointInTimeUtc;endPointInTimeUtc;spokenText;confidenceLevel;audioPositionTicks;audioDurationTicks;audioFileName
c5525350-099c-4e53-b652-8ee2ca76722f;4;4;1;2021-08-31T19:03:47.7005495Z;2021-08-31T19:03:48.4405495Z;Müller;0,254258573;112000000;7400000;audio_0.wav
6ae376c8-9450-4e77-a520-86a7406ddda6;4;4;1;2021-08-31T19:03:50.4605495Z;2021-08-31T19:03:51.7905495Z;interessanter;0,0459409542;139600000;13300000;audio_0.wav
298e99e9-6550-4637-bba4-526388bda27e;4;4;1;2021-08-31T19:03:52.8205495Z;2021-08-31T19:03:53.7005495Z;U;0,21425204;163200000;8800000;audio_0.wav
2b676743-9840-46fc-a448-f9528ea8c6de;4;4;1;2021-08-31T19:03:57.7905495Z;2021-08-31T19:03:59.0805495Z;unter seinem schroff;0,0743565261;212900000;12900000;audio_0.wav
648912be-3e71-4e20-ac89-e39de89d4591;4;4;1;2021-08-31T19:03:59.9405495Z;2021-08-31T19:04:01.1205495Z;Zirkel zur;0,142914757;234400000;11800000;audio_0.wav
ce0a097b-667c-41cd-8434-81f91b4f0c14;4;4;1;2021-08-31T19:04:03.8605495Z;2021-08-31T19:04:05.2205495Z;rundum Instanz;0,07903626;273600000;13600000;audio_0.wav
d671c44b-ba52-474a-b4e7-f297d045ce20;4;4;1;2021-08-31T19:04:10.3405495Z;2021-08-31T19:04:11.5205495Z;beschoss die blockt;0,0256546009;338400000;11800000;audio_0.wav
b7443dc1-fa7a-4c3f-9ae3-9417e7b9f8f5;4;4;1;2021-08-31T19:04:17.5505495Z;2021-08-31T19:04:18.4205495Z;fertig;0,1199605;410500000;8700000;audio_0.wav
9b08f29d-2812-444a-91a8-0b0ebef7a3ff;4;4;1;2021-08-31T19:04:19.4405495Z;2021-08-31T19:04:20.1805495Z;wird;0,3916043;429400000;7400000;audio_0.wav
f4f9bf15-f2a8-4c28-972e-4839ae8b001d;4;4;2;2021-08-31T19:04:53.1905535Z;2021-08-31T19:04:53.7605535Z;Wenn;0,143655136;69600000;5700000;audio_1.wav
efe8a11e-fac4-43b4-bac4-9ae1f0ec9528;4;4;2;2021-08-31T19:05:00.1205535Z;2021-08-31T19:05:02.7805535Z;im Stande sind auch unsere Gruppe Oster;0,203931808;138900000;26600000;audio_1.wav
9a6b0727-bfd5-4176-9ebe-7e835f184f43;4;4;2;2021-08-31T19:05:06.1805535Z;2021-08-31T19:05:09.8205535Z;suggestiver würden Schüler Scherz ganz ruhig im;0,0916414;199500000;36400000;audio_1.wav
7ba6b91e-192a-4481-a457-646634d26732;4;4;2;2021-08-31T19:05:13.5005535Z;2021-08-31T19:05:14.7605535Z;Walde getrost;0,0322861522;272700000;12600000;audio_1.wav
02fbc1da-078f-416e-bc37-94c4eb67d79c;4;4;2;2021-08-31T19:05:18.9705535Z;2021-08-31T19:05:20.8205535Z;Adumim alles wieder;0,170959979;327400000;18500000;audio_1.wav
298d32a5-b1b1-4df9-ad90-2ffe402059ff;4;4;2;2021-08-31T19:05:27.6405535Z;2021-08-31T19:05:28.0005535Z;in;0,28170985;414100000;3600000;audio_1.wav
909cb380-156e-4a66-ab82-e8c40a54eacf;4;4;2;2021-08-31T19:05:28.7305535Z;2021-08-31T19:05:31.0005535Z;Zoos möglichen aus Pullach eingeengt;0,0551670343;425000000;22700000;audio_1.wav
ab8e773a-54fe-456a-ba63-e18346ea6c41;4;4;2;2021-08-31T19:05:31.6805535Z;2021-08-31T19:05:33.0005535Z;und einem neues;0,142107263;454500000;13200000;audio_1.wav
bacb45a3-adb3-482d-a5eb-88c4945afc7c;4;4;2;2021-08-31T19:05:53.8405535Z;2021-08-31T19:05:55.8905535Z;desto einfacher;0,152217776;676100000;20500000;audio_1.wav
