transformId;rotation;scale;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
Sheep;(0.0, -0.9, 0.0, 0.5);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);b110cd12-e54c-4e27-b15f-1034939332b8;1;4;4;08.31.2021 19:03:36.511
Sheep;(0.0, -0.3, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);6d836800-de4b-4f7e-875f-2a1b6b101d0e;1;4;4;08.31.2021 19:03:36.544
Sheep;(0.0, -0.1, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);2be3044f-c4e7-4189-b3bf-34264590b3c3;1;4;4;08.31.2021 19:03:36.582
Sheep;(0.0, 0.0, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);8f88867e-8a8a-41b7-9d8e-54111f61c32f;1;4;4;08.31.2021 19:03:36.616
Sheep;(0.0, 0.0, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);3f3d0498-95bc-46b3-9a13-17225aea8349;1;4;4;08.31.2021 19:03:36.649
Sheep;(0.0, 0.0, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);e5104478-b443-4792-9f46-f6b71af31e16;1;4;4;08.31.2021 19:03:36.683
Sheep;(0.0, -0.2, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);b8409cfd-97f6-4fdf-9a24-364f5ca9347b;1;4;4;08.31.2021 19:03:36.716
Sheep;(0.0, -0.3, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);7fc0aef3-aa00-4668-8514-28a9489203b8;1;4;4;08.31.2021 19:03:36.749
Sheep;(0.0, -0.5, 0.0, -0.9);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);e40bf440-09e1-4fec-950d-efc04d4f807c;1;4;4;08.31.2021 19:03:36.783
Sheep;(0.0, -0.6, 0.0, -0.8);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);e7c2f0a8-d3e3-4f88-9338-741e0b88102f;1;4;4;08.31.2021 19:03:36.816
Sheep;(0.0, -0.7, 0.0, -0.7);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);ea210dae-09f3-4fdd-b682-f6df7ec6686d;1;4;4;08.31.2021 19:03:36.849
Sheep;(0.0, -0.8, 0.0, -0.5);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);a6f621a7-6ac0-4f77-90bc-e581baadb94b;1;4;4;08.31.2021 19:03:36.882
Sheep;(0.0, -0.9, 0.0, -0.4);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);4fa46025-418c-4505-94e8-a98bdd2a2cbc;1;4;4;08.31.2021 19:03:36.916
Sheep;(0.0, -1.0, 0.0, -0.3);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);73df428f-86f2-44b9-adea-8bf1f3dfaf80;1;4;4;08.31.2021 19:03:36.949
Sheep;(0.0, -1.0, 0.0, -0.1);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);4fd07454-1fd5-47fa-8a17-d7c33d5e2df6;1;4;4;08.31.2021 19:03:36.982
Sheep;(0.0, -1.0, 0.0, 0.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);29ef18ba-802f-4a60-a78e-5047a2ad7476;1;4;4;08.31.2021 19:03:37.016
Sheep;(0.0, -1.0, 0.0, 0.1);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);3da3b002-7f66-4d50-a62b-1f8df73e0c3c;1;4;4;08.31.2021 19:03:37.049
Sheep;(0.0, -1.0, 0.0, 0.3);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);a553c265-d574-4758-bd3f-57c1ea84fecd;1;4;4;08.31.2021 19:03:37.083
Sheep;(0.0, -0.9, 0.0, 0.4);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);24f16784-9403-4162-a203-24e6e16ca8a7;1;4;4;08.31.2021 19:03:37.116
Sheep;(0.0, -0.8, 0.0, 0.5);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);5f3cfae2-9886-46d3-815f-b025c6a7d2ab;1;4;4;08.31.2021 19:03:37.150
Sheep;(0.0, -0.8, 0.0, 0.6);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);0f278236-2af3-4fc1-9eef-d6424c82ac22;1;4;4;08.31.2021 19:03:37.218
Sheep;(0.0, -0.5, 0.0, 0.9);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);963278c7-ce1d-42d2-8d31-ceb890516312;1;4;4;08.31.2021 19:03:37.255
Sheep;(0.0, -0.3, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);beb132f3-464a-4d4a-a189-137e6002a222;1;4;4;08.31.2021 19:03:37.294
Sheep;(0.0, -0.1, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);c09bdf3e-ce21-452a-a78d-822c012e1e29;1;4;4;08.31.2021 19:03:37.331
Sheep;(0.0, 0.0, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);4919144e-b7b6-42cf-baa8-2e8801e948a3;1;4;4;08.31.2021 19:03:37.371
Sheep;(0.0, 0.0, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);888235c6-9ea5-414e-bb2e-936e3176e481;1;4;4;08.31.2021 19:03:37.405
Sheep;(0.0, -0.1, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);af345a51-40d2-4ec9-a827-c3c0b7c13d50;1;4;4;08.31.2021 19:03:37.438
