startOffsetInMs;endOffsetInMs;endPointInTimeUtc;spokenText;confidenceLevel;averageSentiment;endPosition;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
-8,0556;2,9444;08.31.2021 19:14:37.216;Überichtigt Dorf sie schon gesehen Millionen;0,1227674;None;(4.3, 1.6, -68.3);(4.2, 1.6, -68.4);c23aea14-4739-4e7b-a78a-99f8b55a202a;1;5;5;08.31.2021 19:14:33.906
6,9444;9,9444;08.31.2021 19:14:46.246;my;0,1168827;None;(-33.6, 1.7, -42.6);(-28.4, 1.7, -41.7);63a882ee-7681-4409-9751-481faf17f34e;1;5;5;08.31.2021 19:14:45.706
3,9444;-8,0556;08.31.2021 19:14:57.726;etwas schon Jürgen Scharf Stollesinn des Wortes Utl außen;0,03399096;None;(-26.6, 1.7, -59.4);(-27.0, 1.7, -53.3);141566fb-06d0-446f-b02a-89de4b52d4e4;1;5;5;08.31.2021 19:14:54.016
12,9444;-10,0556;08.31.2021 19:15:06.416;Stoffe dafür sei schon los;0,03872906;None;(-34.3, 1.7, -94.5);(-28.8, 1.7, -83.5);2f4b87d8-3f94-4852-b461-ac1b9bfbf76d;1;5;5;08.31.2021 19:15:04.846
4,9444;-11,0556;08.31.2021 19:15:24.206;gewesen, die ziemlich Glocke;0,05102704;None;(17.9, 1.6, -102.7);(14.3, 1.7, -102.9);433d5758-1aec-47cf-a4bd-da5d9443fbcb;1;5;5;08.31.2021 19:15:21.926
1,9444;0,9444;08.31.2021 19:15:29.516;fertig ist;0,272963;None;(19.4, 1.3, -99.9);(19.5, 1.6, -100.0);3fa5ea24-51f8-467f-b504-8f33c4bc6ad2;1;5;5;08.31.2021 19:15:27.016
1,9234;14,9234;08.31.2021 19:16:11.279;Ob diese Orte Symbol gestolpert AO;0,1450209;None;(23.9, 1.7, -47.5);(20.0, 1.7, -48.3);aad676bd-4aed-4487-8a69-a2e120af13e4;2;5;5;08.31.2021 19:16:08.609
-4,0766;-12,0766;08.31.2021 19:16:13.819;Glück ins weniger;0,07151435;None;(35.1, 1.6, -56.8);(28.1, 1.7, -50.4);34405f37-eaba-46c7-96b0-abe32bb4c2d4;2;5;5;08.31.2021 19:16:12.209
-11,0766;0,9234;08.31.2021 19:16:22.199;O ja;0,0131189;None;(21.3, 1.6, -98.6);(23.9, 1.6, -96.9);31c5f5a6-8bb9-452d-adda-3c82f61ba9bb;2;5;5;08.31.2021 19:16:20.989
3,9234;-2,0766;08.31.2021 19:16:31.989;Lattek;0,01356599;None;(-7.3, 1.5, -97.4);(-7.3, 1.6, -97.3);8845a54c-b8b5-48b7-a350-c1dc75c4d48c;2;5;5;08.31.2021 19:16:30.529
