hmdPosition;hmdRotation;gazePosition;gazeRotation;focusedObjectName;leftControllerPosition;leftControllerRotation;rightControllerPosition;rightControllerRotation;hmdTransformRotation;leftControllerTransformPosition;leftControllerTransformRotation;rightControllerTransformPosition;rightControllerTransformRotation;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
(1.2, 1.7, -0.5);(0.0, -1.0, 0.1, 0.0);;;Ground_small_75x75;(1.2, 1.1, -0.6);(0.0, -1.0, -0.1, -0.1);(1.1, 1.1, -0.6);(0.1, -1.0, 0.2, 0.1);(0.0, -1.0, 0.1, 0.0);(2.2, 1.1, -41.8);(0.0, -1.0, -0.1, -0.1);(2.1, 1.1, -41.8);(0.1, -1.0, 0.2, 0.1);(2.2, 1.7, -41.7);85898026-1a9a-4a85-8481-4c13a6c63bf0;1;5;5;08.31.2021 19:14:30.275
(1.2, 1.7, -0.5);(0.0, -1.0, 0.1, 0.0);;;Ground_small_75x75;(1.2, 1.1, -0.6);(0.0, -1.0, -0.1, -0.1);(1.1, 1.1, -0.6);(0.1, -1.0, 0.2, 0.1);(0.0, -1.0, 0.1, 0.0);(2.2, 1.1, -41.8);(0.0, -1.0, -0.1, -0.1);(2.1, 1.1, -41.8);(0.1, -1.0, 0.2, 0.1);(2.2, 1.7, -41.7);176382a0-6445-4764-aa85-26f85e9fd307;1;5;5;08.31.2021 19:14:30.312
(1.2, 1.7, -0.5);(0.0, -1.0, 0.0, 0.0);;;Ground_small_75x75;(1.2, 1.1, -0.6);(0.0, -1.0, -0.1, -0.1);(1.1, 1.1, -0.6);(0.1, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, 0.0);(1.4, 1.1, -48.0);(0.0, -1.0, -0.1, -0.1);(1.3, 1.1, -48.1);(0.1, -1.0, 0.2, 0.0);(1.4, 1.7, -47.9);c090f8e4-f1eb-4cb3-a1a7-36fb48f7a7a6;1;5;5;08.31.2021 19:14:30.346
(1.2, 1.7, -0.5);(0.0, -1.0, 0.0, 0.0);;;Ground_small_75x75;(1.2, 1.1, -0.6);(0.0, -1.0, -0.1, -0.1);(1.1, 1.1, -0.6);(0.1, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, 0.0);(1.5, 1.1, -48.0);(0.0, -1.0, -0.1, -0.1);(1.3, 1.1, -48.1);(0.1, -1.0, 0.2, 0.0);(1.4, 1.7, -47.9);70641007-5a18-4160-a526-14971a025760;1;5;5;08.31.2021 19:14:30.387
(1.2, 1.7, -0.5);(0.0, -1.0, 0.0, 0.0);;;Ground_small_75x75;(1.2, 1.1, -0.6);(0.0, -1.0, -0.1, -0.1);(1.1, 1.1, -0.6);(0.1, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, 0.0);(1.5, 1.1, -48.0);(0.0, -1.0, -0.1, -0.1);(1.3, 1.1, -48.1);(0.1, -1.0, 0.2, 0.0);(1.4, 1.7, -47.9);612a900a-b387-4e52-8c69-68f8c282562e;1;5;5;08.31.2021 19:14:30.419
(1.2, 1.7, -0.5);(0.0, -1.0, 0.0, 0.0);;;Ground_small_75x75;(1.3, 1.1, -0.6);(0.0, -1.0, -0.1, -0.1);(1.1, 1.1, -0.6);(0.1, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, 0.0);(1.5, 1.1, -48.0);(0.0, -1.0, -0.1, -0.1);(1.3, 1.1, -48.1);(0.1, -1.0, 0.2, 0.0);(1.4, 1.7, -47.9);e062ffca-a17a-4448-b7a8-8dd14c56ef1c;1;5;5;08.31.2021 19:14:30.452
(1.2, 1.7, -0.5);(0.0, -1.0, 0.0, 0.0);;;Ground_small_75x75;(1.3, 1.1, -0.6);(0.0, -1.0, -0.1, -0.1);(1.1, 1.1, -0.6);(0.1, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, 0.0);(1.5, 1.1, -48.0);(0.0, -1.0, -0.1, -0.1);(1.3, 1.1, -48.1);(0.1, -1.0, 0.2, 0.0);(1.4, 1.7, -47.9);3d3ca8c1-d47c-49b2-b444-60733da28d14;1;5;5;08.31.2021 19:14:30.488
(1.2, 1.7, -0.5);(0.0, -1.0, 0.0, -0.1);;;Ground_small_75x75;(1.3, 1.1, -0.6);(0.0, -1.0, -0.1, -0.1);(1.1, 1.1, -0.6);(0.1, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, -0.1);(1.5, 1.1, -48.0);(0.0, -1.0, -0.1, -0.1);(1.3, 1.1, -48.1);(0.1, -1.0, 0.2, 0.0);(1.4, 1.7, -47.9);02b6246c-24ed-4490-878e-17f16cb035aa;1;5;5;08.31.2021 19:14:30.529
(1.2, 1.7, -0.5);(0.0, -1.0, 0.0, -0.1);;;Ground_small_75x75;(1.3, 1.1, -0.6);(0.0, -1.0, -0.1, -0.1);(1.1, 1.1, -0.6);(0.1, -1.0, 0.1, 0.0);(0.0, -1.0, 0.0, -0.1);(1.5, 1.1, -48.0);(0.0, -1.0, -0.1, -0.1);(1.3, 1.1, -48.1);(0.1, -1.0, 0.1, 0.0);(1.4, 1.7, -47.9);29b27743-4f34-448d-b0de-71b03b87597c;1;5;5;08.31.2021 19:14:30.563
(1.2, 1.7, -0.5);(0.0, -1.0, 0.0, -0.1);;;Ground_small_75x75;(1.3, 1.1, -0.6);(0.0, -1.0, -0.1, -0.1);(1.1, 1.1, -0.6);(0.1, -1.0, 0.1, 0.0);(0.0, -1.0, 0.0, -0.1);(1.5, 1.1, -48.0);(0.0, -1.0, -0.1, -0.1);(1.3, 1.1, -48.1);(0.1, -1.0, 0.1, 0.0);(1.4, 1.7, -47.9);e99d927a-e53d-4908-9f3e-58864898c734;1;5;5;08.31.2021 19:14:30.596
(1.2, 1.7, -0.5);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.3, 1.1, -0.6);(0.0, -1.0, -0.1, -0.2);(1.1, 1.1, -0.6);(0.1, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, -0.1);(1.5, 1.1, -48.0);(0.0, -1.0, -0.1, -0.2);(1.3, 1.1, -48.1);(0.1, -1.0, 0.2, 0.0);(1.4, 1.7, -47.9);671dab0a-ded9-4918-8a73-f404bb7d2dbf;1;5;5;08.31.2021 19:14:30.629
(1.2, 1.7, -0.5);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.3, 1.1, -0.6);(0.0, -1.0, -0.1, -0.2);(1.1, 1.1, -0.6);(0.1, -1.0, 0.2, -0.1);(0.0, -1.0, 0.0, -0.1);(1.5, 1.1, -48.0);(0.0, -1.0, -0.1, -0.2);(1.3, 1.1, -48.1);(0.1, -1.0, 0.2, -0.1);(1.4, 1.7, -47.9);7be9c02e-0fca-4420-a2b6-6adf142c4a0b;1;5;5;08.31.2021 19:14:30.663
